SymName,TotalAmountIn,TotalAmountOut,TotalTrades,profit,return_percent
HSII,65459.19,66032.16,33,572.97,0.875308723
OPHC,41964.39,42325.14,21,360.75,0.859657438
VFC,128079.81,129160.78,65,1080.97,0.843981577
USNA,149185.85,150442.58,76,1256.73,0.842392224
PINC,61477.99,61983.28,31,505.29,0.821903904
SITE,96186.95,96977.19,50,790.24,0.821566751
TRST,21803.05,21981.79,11,178.74,0.819793561
CM,72684.79,73264.63,37,579.84,0.797745993
AMX,33836.54,34106.11,17,269.57,0.796683112
MMM,92117.45,92850.09,48,732.64,0.79533248
ABNB,65948.08,66447.93,34,499.85,0.757944735
B,37611.57,37896.36,19,284.79,0.757187217
DLTH,109682.6,110511.55,55,828.95,0.755771654
